11	0.0425	0.4819	0.2238	0.000418
12	0.0425	0.4819	0.18358	0.000376
13	0.0425	0.4819	0.1499	0.000338
14	0.0425	0.4819	0.12188	0.000304
15	0.0425	0.4819	0.0987	0.000272
16	0.0425	0.4819	0.07966	0.000244
17	0.0425	0.4819	0.06408	0.00022
18	0.0425	0.4819	0.05138	0.000196
19	0.0425	0.4819	0.04108	0.000176
20	0.0425	0.4819	0.03276	0.000158
21	0.0425	0.4819	0.02606	0.000142
22	0.0425	0.4819	0.02068	0.000126
23	0.0425	0.4819	0.01638	0.000112
24	0.0425	0.4819	0.01294	0.000102
25	0.0425	0.4819	0.01022	0.000092
26	0.0425	0.4819	0.00804	0.000082
27	0.0425	0.4819	0.0063	0.000076
28	0.0425	0.4819	0.00494	0.000072
29	0.0425	0.4819	0.00386	0.000068
				
				
				
0	0.0318	0.2142	1.02946	0.000864
1	0.0318	0.2142	1.00234	0.000842
2	0.0318	0.2142	0.94052	0.000788
3	0.0318	0.2142	0.85718	0.000718
4	0.0318	0.2142	0.76702	0.000642
5	0.0318	0.2142	0.67742	0.000568
6	0.0318	0.2142	0.59228	0.0005
7	0.0318	0.2142	0.51364	0.00044
8	0.0318	0.2142	0.44246	0.000386
9	0.0318	0.2142	0.37898	0.000342
10	0.0318	0.2142	0.32298	0.000306
11	0.0318	0.2142	0.27406	0.000276
12	0.0318	0.2142	0.23164	0.00025
13	0.0318	0.2142	0.19508	0.000228
14	0.0318	0.2142	0.16378	0.00021
15	0.0318	0.2142	0.13708	0.000194
16	0.0318	0.2142	0.11442	0.00018
17	0.0318	0.2142	0.09526	0.000164
18	0.0318	0.2142	0.07912	0.00015
19	0.0318	0.2142	0.06556	0.000136
20	0.0318	0.2142	0.05422	0.000124
21	0.0318	0.2142	0.04476	0.000112
22	0.0318	0.2142	0.03686	0.0001
23	0.0318	0.2142	0.03032	0.00009
24	0.0318	0.2142	0.0249	0.000082
25	0.0318	0.2142	0.02042	0.000072
26	0.0318	0.2142	0.01672	0.000066
27	0.0318	0.2142	0.01366	0.000058
28	0.0318	0.2142	0.01116	0.000052
29	0.0318	0.2142	0.0091	0.000048
30	0.0318	0.2142	0.00742	0.000044
31	0.0318	0.2142	0.00604	0.000042
32	0.0318	0.2142	0.00492	0.00004
33	0.0318	0.2142	0.004	0.000036
34	0.0318	0.2142	0.00324	0.000034
35	0.0318	0.2142	0.00262	0.000034
36	0.0318	0.2142	0.00212	0.000032
37	0.0318	0.2142	0.0017	0.000032
38	0.0318	0.2142	0.00136	0.000032
39	0.0318	0.2142	0.0011	0.000032
40	0.0318	0.2142	0.00086	0.000032
41	0.0318	0.2142	0.00068	0.00003
42	0.0318	0.2142	0.00054	0.00003
43	0.0318	0.2142	0.00042	0.00003
44	0.0318	0.2142	0.00034	0.00003
45	0.0318	0.2142	0.00026	0.00003
46	0.0318	0.2142	0.0002	0.000028
47	0.0318	0.2142	0.00016	0.000028
48	0.0318	0.2142	0.00012	0.000026
49	0.0318	0.2142	0.0001	0.000026
50	0.0318	0.2142	0.00008	0.000026
51	0.0318	0.2142	0.00006	0.000026
52	0.0318	0.2142	0.00004	0.000026
53	0.0318	0.2142	0.00004	0.000026
54	0.0318	0.2142	0.00004	0.000026
55	0.0318	0.2142	0.00002	0.000026
56	0.0318	0.2142	0.00002	0.000026
57	0.0318	0.2142	0.00002	0.000026
58	0.0318	0.2142	0.00002	0.000026
59	0.0318	0.2142	0.00002	0.000026
